method,DimensionFound,space_distance_Wang,space_distance_MatNorm
sir,2,1.0,1.4142135623731
save,1,1.0,1.0
phdy,1,1.0,1.0
phdres,2,1.0,1.41421356237309
ire,2,1.0,1.4142135623731
meanOPG,2,0.999999999999999,1.4142135623731
meanMAVE,2,0.999999999999998,1.41421356237309
csMAVE,2,0.999999999999999,1.4142135623731
csOPG,2,0.999999999999999,1.4142135623731
KSIR,2,0.999999999999999,1.4142135623731
SDRNNW,4,0.199618759486418,0.3053478118283204
sir,2,0.999999999999998,1.4142135623731
save,1,1.0,1.0
phdy,2,1.0,1.4142135623731
phdres,2,0.999999999999999,1.4142135623731
ire,3,1.0,1.73205080756888
meanOPG,2,0.999999999999999,1.41421356237309
meanMAVE,2,0.999999999999999,1.4142135623731
csMAVE,2,0.999999999999999,1.41421356237309
csOPG,2,0.999999999999999,1.41421356237309
KSIR,2,0.999999999999999,1.4142135623731
SDRNNW,4,0.2669112928254879,0.4109125924325303
sir,2,0.999999999999999,1.41421356237309
save,1,1.0,1.0
phdy,1,1.0,1.0
phdres,2,1.0,1.4142135623731
ire,2,0.999999999999999,1.4142135623731
meanOPG,2,0.999999999999999,1.41421356237309
meanMAVE,2,0.999999999999998,1.4142135623731
csMAVE,2,0.999999999999999,1.41421356237309
csOPG,2,0.999999999999999,1.4142135623731
KSIR,2,1.0,1.4142135623731
SDRNNW,4,0.2582544954698383,0.3791253565733138
sir,2,0.999999999999999,1.41421356237309
save,1,1.0,1.0
phdy,1,1.0,1.0
phdres,1,1.0,1.0
ire,2,0.999999999999999,1.41421356237309
meanOPG,2,0.999999999999998,1.4142135623731
meanMAVE,2,0.999999999999998,1.4142135623731
csMAVE,2,0.999999999999998,1.41421356237309
csOPG,2,0.999999999999999,1.41421356237309
KSIR,2,0.999999999999999,1.4142135623731
SDRNNW,4,0.4131103298327798,0.5977341372352141
sir,2,0.999999999999999,1.4142135623731
save,1,1.0,1.0
phdy,1,1.0,1.0
phdres,2,1.0,1.41421356237309
ire,3,1.0,1.73205080756888
meanOPG,2,0.999999999999999,1.4142135623731
meanMAVE,3,0.999999999999998,1.73205080756888
csMAVE,2,0.999999999999999,1.41421356237309
csOPG,2,0.999999999999999,1.4142135623731
KSIR,2,0.999999999999998,1.41421356237309
SDRNNW,4,0.3861472788797474,0.570109604894679
sir,2,0.999999999999999,1.4142135623731
save,1,1.0,1.0
phdy,1,1.0,1.0
phdres,3,1.0,1.73205080756888
ire,2,1.0,1.4142135623731
meanOPG,2,0.999999999999999,1.41421356237309
meanMAVE,2,0.999999999999999,1.4142135623731
csMAVE,2,0.999999999999999,1.4142135623731
csOPG,2,0.999999999999998,1.4142135623731
KSIR,2,1.0,1.4142135623731
SDRNNW,4,0.3300812417629835,0.5193965921962954
sir,2,0.999999999999999,1.41421356237309
save,1,1.0,1.0
phdy,1,1.0,1.0
phdres,1,1.0,1.0
ire,2,0.999999999999999,1.41421356237309
meanOPG,2,0.999999999999999,1.4142135623731
meanMAVE,2,0.999999999999999,1.4142135623731
csMAVE,2,0.999999999999999,1.4142135623731
csOPG,2,0.999999999999999,1.41421356237309
KSIR,3,0.999999999999998,1.73205080756888
SDRNNW,4,0.3541886215268439,0.5260886039858054
sir,2,0.999999999999998,1.41421356237309
save,1,1.0,1.0
phdy,1,1.0,1.0
phdres,1,1.0,1.0
ire,2,1.0,1.4142135623731
meanOPG,2,0.999999999999998,1.41421356237309
meanMAVE,2,0.999999999999999,1.4142135623731
csMAVE,2,0.999999999999999,1.41421356237309
csOPG,2,0.999999999999999,1.41421356237309
KSIR,2,1.0,1.4142135623731
